Added 6331; Current median 6331; running total 6331
Added 1817; Current median 4437; running total 3770
Added 3516; Current median 4437; running total 8207
Added 7302; Current median 4437; running total 2644
Added 3573; Current median 4437; running total 7081
Added 4643; Current median 4437; running total 1518
Added 4205; Current median 4437; running total 5955
Added 2330; Current median 4429; running total 384
Added 2021; Current median 4429; running total 4813
Added 3156; Current median 4424; running total 9237
Added 9952; Current median 4429; running total 3666
Added 2489; Current median 4424; running total 8090
Added 716; Current median 4424; running total 2514
Added 5025; Current median 4424; running total 6938
Added 2546; Current median 4424; running total 1362
Added 6949; Current median 4424; running total 5786
Added 1491; Current median 4424; running total 210
Added 4218; Current median 4417; running total 4627
Added 8969; Current median 4424; running total 9051
Added 8468; Current median 4424; running total 3475
Added 6809; Current median 4429; running total 7904
Added 1935; Current median 4424; running total 2328
Added 4859; Current median 4429; running total 6757
Added 8647; Current median 4429; running total 1186
Added 4527; Current median 4437; running total 5623
Added 1109; Current median 4429; running total 52
Added 9847; Current median 4437; running total 4489
Added 9697; Current median 4437; running total 8926
Added 705; Current median 4437; running total 3363
Added 9521; Current median 4437; running total 7800
Added 2668; Current median 4437; running total 2237
Added 7507; Current median 4437; running total 6674
Added 6563; Current median 4442; running total 1116
Added 509; Current median 4437; running total 5553
Added 9078; Current median 4442; running total 9995
Added 1996; Current median 4437; running total 4432
Added 5011; Current median 4442; running total 8874
Added 9153; Current median 4442; running total 3316
Added 3264; Current median 4442; running total 7758
Added 4526; Current median 4442; running total 2200
Added 5286; Current median 4445; running total 6645
Added 356; Current median 4442; running total 1087
Added 721; Current median 4442; running total 5529
Added 5656; Current median 4442; running total 9971
Added 9620; Current median 4445; running total 4416
Added 7862; Current median 4445; running total 8861
Added 1118; Current median 4445; running total 3306
Added 4732; Current median 4445; running total 7751
Added 1939; Current median 4445; running total 2196
Added 38; Current median 4442; running total 6638
Added 2508; Current median 4442; running total 1080
Added 745; Current median 4437; running total 5517
Added 9038; Current median 4442; running total 9959
Added 6896; Current median 4442; running total 4401
Added 3322; Current median 4442; running total 8843
Added 3758; Current median 4437; running total 3280
Added 447; Current median 4437; running total 7717
Added 695; Current median 4429; running total 2146
Added 7034; Current median 4437; running total 6583
Added 3695; Current median 4429; running total 1012
Added 6313; Current median 4437; running total 5449
Added 4438; Current median 4437; running total 9886
Added 3567; Current median 4437; running total 4323
Added 6663; Current median 4437; running total 8760
Added 4614; Current median 4438; running total 3198
Added 111; Current median 4437; running total 7635
Added 4268; Current median 4437; running total 2072
Added 4097; Current median 4429; running total 6501
Added 685; Current median 4429; running total 930
Added 2060; Current median 4424; running total 5354
Added 2774; Current median 4424; running total 9778
Added 7511; Current median 4424; running total 4202
Added 4790; Current median 4429; running total 8631
Added 6230; Current median 4429; running total 3060
Added 9451; Current median 4437; running total 7497
Added 7002; Current median 4437; running total 1934
Added 7189; Current median 4438; running total 6372
Added 5647; Current median 4438; running total 810
Added 2323; Current median 4438; running total 5248
Added 7331; Current median 4438; running total 9686
Added 5702; Current median 4442; running total 4128
Added 6512; Current median 4442; running total 8570
Added 5291; Current median 4445; running total 3015
Added 4420; Current median 4442; running total 7457
Added 5932; Current median 4445; running total 1902
Added 3251; Current median 4442; running total 6344
Added 554; Current median 4442; running total 786
Added 8667; Current median 4442; running total 5228
Added 1534; Current median 4442; running total 9670
Added 489; Current median 4438; running total 4108
Added 9850; Current median 4442; running total 8550
Added 7851; Current median 4442; running total 2992
Added 6634; Current median 4445; running total 7437
Added 771; Current median 4442; running total 1879
Added 5051; Current median 4445; running total 6324
Added 7295; Current median 4445; running total 769
Added 9197; Current median 4447; running total 5216
Added 8789; Current median 4447; running total 9663
Added 9248; Current median 4448; running total 4111
Added 834; Current median 4447; running total 8558
Added 5863; Current median 4448; running total 3006
Added 1385; Current median 4447; running total 7453
Added 8432; Current median 4448; running total 1901
Added 649; Current median 4447; running total 6348
Added 9953; Current median 4448; running total 796
Added 8208; Current median 4448; running total 5244
Added 2715; Current median 4448; running total 9692
Added 7171; Current median 4448; running total 4140
Added 513; Current median 4448; running total 8588
Added 2102; Current median 4447; running total 3035
Added 8888; Current median 4448; running total 7483
Added 5020; Current median 4448; running total 1931
Added 1361; Current median 4448; running total 6379
Added 5276; Current median 4448; running total 827
Added 6301; Current median 4450; running total 5277
Added 6333; Current median 4450; running total 9727
Added 1300; Current median 4450; running total 4177
Added 4286; Current median 4448; running total 8625
Added 3485; Current median 4448; running total 3073
Added 5971; Current median 4448; running total 7521
Added 9586; Current median 4450; running total 1971
Added 7782; Current median 4450; running total 6421
Added 7498; Current median 4456; running total 877
Added 5219; Current median 4456; running total 5333
Added 7235; Current median 4462; running total 9795
Added 3285; Current median 4456; running total 4251
Added 2665; Current median 4456; running total 8707
Added 2649; Current median 4450; running total 3157
